start_time,end_time,transfer,bandwidth
0.0,1.0,611 KBytes,5.00 Mbits/sec
1.0,2.0,393 KBytes,3.22 Mbits/sec
2.0,3.0,255 KBytes,2.09 Mbits/sec
3.0,4.0,255 KBytes,2.08 Mbits/sec
4.0,5.0,191 KBytes,1.56 Mbits/sec
5.0,6.0,255 KBytes,2.08 Mbits/sec
6.0,7.0,318 KBytes,2.61 Mbits/sec
7.0,8.0,509 KBytes,4.17 Mbits/sec
8.0,9.0,255 KBytes,2.09 Mbits/sec
9.0,10.0,255 KBytes,2.08 Mbits/sec
10.0,11.0,255 KBytes,2.09 Mbits/sec
11.0,12.0,382 KBytes,3.13 Mbits/sec
12.0,13.0,318 KBytes,2.61 Mbits/sec
13.0,14.0,255 KBytes,2.09 Mbits/sec
14.0,15.0,255 KBytes,2.09 Mbits/sec
15.0,16.0,191 KBytes,1.56 Mbits/sec
16.0,17.0,191 KBytes,1.56 Mbits/sec
17.0,18.0,382 KBytes,3.13 Mbits/sec
18.0,19.0,255 KBytes,2.09 Mbits/sec
19.0,20.0,318 KBytes,2.61 Mbits/sec
20.0,21.0,255 KBytes,2.09 Mbits/sec
21.0,22.0,318 KBytes,2.61 Mbits/sec
22.0,23.0,318 KBytes,2.61 Mbits/sec
23.0,24.0,255 KBytes,2.09 Mbits/sec
24.0,25.0,318 KBytes,2.61 Mbits/sec
25.0,26.0,318 KBytes,2.61 Mbits/sec
26.0,27.0,445 KBytes,3.65 Mbits/sec
27.0,28.0,318 KBytes,2.61 Mbits/sec
28.0,29.0,445 KBytes,3.65 Mbits/sec
29.0,30.0,445 KBytes,3.65 Mbits/sec
30.0,31.0,255 KBytes,2.09 Mbits/sec
31.0,32.0,255 KBytes,2.09 Mbits/sec
32.0,32.61,255 KBytes,3.43 Mbits/sec
0.0,32.61,10.1 MBytes,2.59 Mbits/sec
0.0,32.64,9.92 MBytes,2.55 Mbits/sec
