start_time,end_time,transfer,bandwidth
0.0,1.0,2.31 MBytes,19.4 Mbits/sec
1.0,2.0,1.86 MBytes,15.6 Mbits/sec
2.0,3.0,954 KBytes,7.82 Mbits/sec
3.0,4.0,954 KBytes,7.82 Mbits/sec
4.0,5.0,636 KBytes,5.21 Mbits/sec
5.0,6.0,954 KBytes,7.82 Mbits/sec
6.0,7.0,954 KBytes,7.82 Mbits/sec
7.0,8.0,954 KBytes,7.82 Mbits/sec
8.0,9.0,636 KBytes,5.21 Mbits/sec
9.0,10.0,636 KBytes,5.21 Mbits/sec
10.0,11.0,954 KBytes,7.82 Mbits/sec
11.0,12.0,636 KBytes,5.21 Mbits/sec
12.0,13.0,1.24 MBytes,10.4 Mbits/sec
13.0,14.0,954 KBytes,7.82 Mbits/sec
14.0,15.0,1.55 MBytes,13.0 Mbits/sec
15.0,16.0,1.55 MBytes,13.0 Mbits/sec
16.0,17.0,1.55 MBytes,13.0 Mbits/sec
17.0,17.38,954 KBytes,20.4 Mbits/sec
0.0,17.38,20.0 MBytes,9.66 Mbits/sec
0.0,17.41,19.3 MBytes,9.29 Mbits/sec
